Id,y
1,"[2.9906479e-04 2.1397238e-06 9.9589598e-01 4.6949090e-06 9.1160121e-07
 5.9881302e-08 1.6981139e-07 1.8611673e-06 1.2796071e-06 3.5338937e-03
 1.0493445e-06 2.4923848e-04 1.5033957e-07 7.9316473e-09 4.7883458e-07
 3.3898129e-07 2.8125337e-06 5.5053451e-06 9.6226302e-08 2.6365620e-07]"
2,"[1.7824596e-04 1.3252090e-06 3.2713011e-05 7.3530629e-08 3.0323379e-06
 7.6106454e-07 9.4557618e-07 9.5833231e-05 8.7694787e-07 5.2616166e-08
 6.1740252e-07 7.1125341e-06 3.6389461e-05 1.5040844e-05 4.2557832e-07
 6.6399753e-06 9.9961865e-01 2.6399343e-07 5.8453992e-07 3.8903084e-07]"
3,"[1.6649584e-03 9.9640852e-01 7.3443080e-05 2.9430232e-06 3.2077060e-06
 3.2520422e-06 1.0543332e-05 6.3246084e-06 8.7208082e-07 7.8882591e-04
 2.2129111e-04 3.2419505e-06 3.9895349e-06 3.0927964e-05 7.1537337e-04
 1.5507694e-06 2.5043051e-05 6.1882656e-06 2.7633636e-05 1.9323986e-06]"
4,"[2.80429749e-03 3.62910650e-04 2.70484946e-07 2.23321695e-06
 2.60000320e-07 4.47891011e-07 7.04280508e-04 3.11879171e-06
 7.71605119e-06 1.08153799e-05 2.48580136e-06 4.07165498e-05
 9.61976548e-06 7.92499923e-05 2.74665770e-04 1.02140475e-05
 7.70452061e-06 8.41107749e-07 9.94870424e-01 8.07771983e-04]"
5,"[1.3361240e-04 1.1072152e-03 9.3355697e-01 4.5760284e-04 3.1302759e-05
 1.5637235e-04 1.6451346e-05 3.6393538e-02 1.2351712e-05 4.4373411e-04
 2.3435768e-02 1.2032876e-04 3.7491449e-05 4.5492678e-05 1.1332326e-04
 4.7723635e-05 1.1683409e-03 2.7163818e-03 1.3119502e-06 4.5929678e-06]"
6,"[1.5321655e-04 5.2430498e-04 2.3102862e-04 3.9669194e-05 5.5363704e-02
 1.4144415e-02 9.0050417e-01 5.5213637e-05 6.4558489e-03 2.8378092e-04
 2.2056945e-05 5.8173300e-05 1.9292628e-02 1.3839223e-05 2.2103421e-03
 1.3746856e-05 7.9158330e-05 5.6257677e-06 5.4583186e-04 3.2928294e-06]"
7,"[1.41976043e-05 5.89631491e-05 3.03320121e-05 8.62534143e-05
 9.91160691e-01 3.75847449e-04 4.51914202e-05 1.82727290e-05
 2.65417066e-06 2.91134820e-05 5.89120609e-05 2.85869664e-05
 7.17139989e-03 6.17033744e-04 7.07073559e-05 8.57224295e-05
 1.15524104e-04 1.56181541e-05 4.11172277e-06 1.09248040e-05]"
8,"[7.3315350e-05 4.5405320e-04 4.8831705e-05 4.3684217e-05 1.8736173e-03
 6.8405980e-06 3.2685068e-05 4.1043979e-05 4.3419582e-06 5.6584220e-05
 1.5135690e-04 4.8996702e-05 7.5818054e-05 3.0304297e-04 8.8943525e-05
 9.9642724e-01 8.7711014e-05 1.0662148e-05 1.0641431e-04 6.4712178e-05]"
9,"[1.9023156e-07 3.3879458e-06 3.7073428e-06 3.2378391e-06 4.6910929e-05
 9.9974400e-01 7.2205826e-06 3.0806368e-05 1.3050058e-05 3.9702468e-06
 5.7978941e-05 3.0265264e-06 3.7193267e-06 1.7464998e-06 2.3936029e-05
 4.6940084e-08 2.3503360e-06 4.8173661e-05 4.2890179e-08 2.4436342e-06]"
10,"[1.8302504e-06 1.9421012e-04 3.0048757e-03 9.4086856e-02 3.3062289e-04
 2.1514104e-01 8.6696578e-05 4.4441980e-01 2.5878329e-04 7.5283868e-05
 4.4405311e-02 4.9548165e-04 4.3851298e-05 2.9420218e-04 3.4060405e-04
 7.3914016e-06 2.9790783e-05 1.9673063e-01 1.8496628e-06 5.0925966e-05]"
